text value
也 3798
之 432
說 5409
去 2632
皆 319
我 5048
又 3557
大 352
可 331
因 508
來 3166
不 1981
等 1096
是 3517
你 4695
道 4461
在 1835
下 408
了 13158
只 1434
誰 645
自己 505
便 1929
到 570
那 1044
卻 419
有 2086
的 9531
好 1053
那里 675
再 682
如此 339
我們 793
只是 324
若 439
并 312
如今 643
听 1753
且 346
拿 566
笑 2100
倒 733
個 759
得 579
上 1066
人 1636
不知 471
著 1755
從 436
就是 359
這 815
小 385
才 679
呢 1074
想 406
不過 324
至 376
要 957
二人 325
看 682
為 532
他們 628
把 588
一 477
就 1686
月 342
都 1787
他 4303
已 357
坐 370
与 728
不是 493
忙 847
一面 662
見 1508
走 508
帶 309
進來 358
起來 448
們 1043
一個 922
出來 486
送 361
話 911
請 424
這樣 411
什么 1093
沒 763
事 380
只得 313
兩個 532
眾人 364
打 425
大家 383
儿 345
和 864
這里 486
寶玉 997
知道 573
吃 883
姐姐 386
叫 989
探春 318
這些 320
賈璉 397
告訴 321
老太太 507
賈母 1015
姑娘 574
這個 497
怎么 542
太太 490
王夫人 575
里 328
襲人 385
出去 349
咱們 379
姐儿 487
寶釵 398
鳳姐 523
奶奶 518
平儿 415
